,prov,total.rev,ratio,total.exp,balance.trans,target.trans,project.trans,net.trans,year
493,Dak Nong,523000,100,1119491,1240934,672075,401800,-596491,2009
503,Gia Lai,1613800,100,2455231,1565684,757318,341944,-841431,2009
512,Kon Tum,544500,100,1125945,1347595,748225,467528,-581445,2009
523,Lam Dong,1729600,100,2261188,1052528,555630,287100,-531588,2009
543,Ho Chi Minh City,122327000,26,20794412,878562,878562,810460,101532588,2009
553,Dong Nai,11758000,45,3837764,89338,89338,36420,7920236,2009
563,Binh Duong,11175000,40,3841362,56133,56133,20000,7333638,2009
572,Binh Phuoc,1314000,100,1588581,594317,363390,176500,-274581,2009
581,Tay Ninh,1414000,100,1402377,437684,253805,122900,11623,2009
593,Ba Ria - Vung Tau,75875000,46,3464698,498054,432678,215000,72410302,2009
615,Long An,1976000,100,2450538,758195,318535,133200,-474538,2009
623,Tien Giang,1467000,100,1930169,902108,403374,200880,-463169,2009
633,Ben Tre,715500,100,1424192,1123919,409831,212500,-708692,2009
643,Tra Vinh,412700,100,1247511,1379702,540591,240340,-834811,2009
652,Vinh Long,881500,100,1370986,843266,317630,172540,-489486,2009
662,Can Tho,3699300,96,2604938,459906,459906,353440,1094362,2009
673,Hau Giang,315600,100,936132,1259862,637720,362700,-620532,2009
683,Soc Trang,675000,100,1452039,1541261,759223,266050,-777039,2009
693,An Giang,1867000,100,2501514,1186063,520549,256580,-634514,2009
703,Dong Thap,1849500,100,2343788,1084577,386883,201240,-494288,2009
715,Kien Giang,1604000,100,2201121,1273117,652046,379680,-597121,2009
722,Bac Lieu,572100,100,1040025,874588,405663,210800,-467925,2009
732,Ca Mau,1681000,100,2055803,740119,415936,249655,-374803,2009
312,Ha Giang,425000,100,2058346,3272537,1492691,576416,-1633346,2010
414,Tuyen Quang,465300,100,1651577,1873793,687406,251846,-1186277,2010
513,Cao Bang,367000,100,1559273,2498388,1226210,546780,-1192273,2010
616,Lang Son,1900000,100,1998633,2227299,789496,300022,-98633,2010
716,Lao Cai,1130000,100,1776373,2358041,1184597,574288,-646373,2010
84,Yen Bai,530000,100,1792642,2219333,954521,400600,-1262642,2010
94,Thai Nguyen,1347000,100,2356559,1854706,742947,286600,-1009559,2010
104,Bac Kan,183000,100,969322,1666619,876297,422000,-786322,2010
114,Phu Tho,1315000,100,2564563,2512648,1133085,591208,-1249563,2010
124,Bac Giang,1003000,100,2656235,2563968,805733,367080,-1653235,2010
134,Hoa Binh,1094500,100,2316483,2155793,928305,373187,-1221983,2010
143,Son La,733200,100,2521839,3067194,1274766,482696,-1788639,2010
154,Lai Chau,161700,100,1302650,2474652,1331092,657202,-1140950,2010
164,Dien Bien,253600,100,1414644,2202173,1039529,378500,-1161044,2010
184,Ha Noi,85417000,45,28984296,510715,510715,348440,56432704,2010
192,Hai Phong,29233000,90,4583443,775627,775627,578000,24649557,2010
203,Quang Ninh,16160000,76,4663620,558655,558655,337220,11496380,2010
213,Hai Duong,3650000,100,3484938,480632,388494,103260,165062,2010
224,Hung Yen,2081000,100,2195023,728498,261195,85050,-114023,2010
234,Vinh Phuc,10020000,67,5991440,162522,162522,55200,4028560,2010
244,Bac Ninh,3087200,100,3124519,534510,241321,81000,-37319,2010
254,Ha Nam,844000,100,1300253,1157249,590496,372000,-456253,2010
264,Nam Dinh,1090000,100,2775219,2720345,965447,538060,-1685219,2010
274,Ninh Binh,1790000,100,2173861,1697868,1010986,757000,-383861,2010
284,Thai Binh,1270000,100,2667648,2169462,684799,365700,-1397648,2010
303,Thanh Hoa,2595000,100,6096655,6163917,2580237,1095988,-3501655,2010
313,Nghe An,2506000,100,5338837,5224884,1991907,801570,-2832837,2010
323,Ha Tinh,980000,100,2580510,3582354,1886994,1184422,-1600510,2010
334,Quang Binh,889000,100,1886854,2010383,924419,510686,-997854,2010
343,Quang Tri,640000,100,1396161,1989720,1061758,676000,-756161,2010
353,Thua Thien - Hue,2301000,100,2630885,1331751,893126,461000,-329885,2010
363,Da Nang,6274000,90,4339968,449017,449017,336200,1934032,2010
374,Quang Nam,1950000,100,3004610,2750336,1339726,741435,-1054610,2010
383,Quang Ngai,13735000,100,1831212,2594524,1980311,705400,11903788,2010
394,Binh Dinh,2367500,100,2293044,1568562,912918,491840,74456,2010
404,Phu Yen,828000,100,1496231,1305937,604151,332200,-668231,2010
415,Khanh Hoa,6168000,53,2755185,783042,643261,256000,3412815,2010
424,Ninh Thuan,350500,100,883064,1360692,828008,473000,-532564,2010
434,Binh Thuan,5009000,100,2139748,1284120,590232,298000,2869252,2010
453,Dak Lak,2188000,100,3583448,2557032,1137479,500660,-1395448,2010
464,Dak Nong,631000,100,1282187,1465386,809484,438533,-651187,2010
472,Gia Lai,1925000,100,2769789,1929141,1062636,424153,-844789,2010
484,Kon Tum,778000,100,1384113,1528280,890578,478450,-606113,2010
494,Lam Dong,1878500,100,2532781,1507069,828099,334964,-654281,2010
514,Ho Chi Minh City,144200000,26,28235584,983957,983957,9.00E+05,115964416,2010
524,Dong Nai,14008000,45,4614672,188570,97391,15000,9393328,2010
532,Binh Duong,12725000,40,4519128,73554,73554,30000,8205872,2010
544,Binh Phuoc,1459000,100,1831843,881588,487744,197100,-372843,2010
554,Tay Ninh,1486000,100,1593443,613662,340180,148000,-107443,2010
564,Ba Ria - Vung Tau,78350000,46,4885478,420292,354916,120000,73464522,2010
582,Long An,2473000,100,2732660,862378,422718,154000,-259660,2010
594,Tien Giang,1682000,100,2213466,1143536,571595,280879,-531466,2010
602,Ben Tre,750000,100,1619759,1489491,613731,282658,-869759,2010
617,Tra Vinh,472000,100,1416700,1686155,735550,311311,-944700,2010
624,Vinh Long,1050000,100,1571581,1029743,446962,242200,-521581,2010
634,Can Tho,4318000,96,3128120,497766,497766,338200,1189880,2010
644,Hau Giang,391000,100,1088593,1465555,766153,413000,-697593,2010
653,Soc Trang,525500,100,1470487,2200121,1250634,382644,-944987,2010
663,An Giang,2377000,100,3046103,1474134,744031,355458,-669103,2010
674,Dong Thap,2360000,100,2848218,1307808,549541,263414,-488218,2010
684,Kien Giang,1923000,100,2566588,1581446,898857,495818,-643588,2010
694,Bac Lieu,630000,100,1177986,1102860,553874,253200,-547986,2010
704,Ca Mau,1776500,100,2094183,930488,606306,345136,-317683,2010
416,Ha Giang,730000,100,3864519,4264259,862240,781600,-3134519,2011
515,Tuyen Quang,670000,100,2503627,2245027,411250,404700,-1833627,2011
618,Cao Bang,463000,100,2782657,3089387,688730,641000,-2319657,2011
717,Lang Son,2665500,100,3181713,2947868,480060,469600,-516213,2011
85,Lao Cai,1590000,100,3003190,2980775,883150,813000,-1413190,2011
95,Yen Bai,680000,100,2847651,2689401,519200,495600,-2167651,2011
105,Thai Nguyen,2156000,100,3472659,1991669,397790,395300,-1316659,2011
115,Bac Kan,269000,100,1700660,1998450,563780,544900,-1431660,2011
125,Phu Tho,1674000,100,4015576,3076206,634630,614700,-2341576,2011
135,Bac Giang,1184000,100,4210775,3487245,387230,368000,-3026775,2011
144,Hoa Binh,1290000,100,3330773,2790323,746530,705000,-2040773,2011
155,Son La,1241000,100,4382779,3914043,752200,674200,-3141779,2011
165,Lai Chau,224500,100,2507823,3098313,809490,745200,-2283323,2011
173,Dien Bien,341500,100,2848967,3127557,615590,556300,-2507467,2011
193,Ha Noi,113405000,42,38304320,275000,275000,273000,75100680,2011
204,Hai Phong,43480000,88,6015330,588700,588700,582200,37464670,2011
214,Quang Ninh,22500000,70,7927564,542950,542950,537500,14572436,2011
225,Hai Duong,5038000,100,4800160,546760,121200,112700,237840,2011
235,Hung Yen,3210000,100,2963754,542024,102600,100600,246246,2011
245,Vinh Phuc,15230000,60,6797753,110560,110560,109300,8432247,2011
